season,player_id,age
2024-25,g/gilgesh01,26
2023-24,j/jokicni01,28
2022-23,e/embiijo01,28
2021-22,j/jokicni01,26
2020-21,j/jokicni01,25
2019-20,a/antetgi01,25
2018-19,a/antetgi01,24
2017-18,h/hardeja01,28
2016-17,w/westbru01,28
2015-16,c/curryst01,27
2014-15,c/curryst01,26
2013-14,d/duranke01,25
2012-13,j/jamesle01,28
2011-12,j/jamesle01,27
2010-11,r/rosede01,22
2009-10,j/jamesle01,25
2008-09,j/jamesle01,24
2007-08,b/bryanko01,29
2006-07,n/nowitdi01,28
2005-06,n/nashst01,31
2004-05,n/nashst01,30
2003-04,g/garneke01,27
2002-03,d/duncati01,26
2001-02,d/duncati01,25
2000-01,i/iversal01,25
1999-00,o/onealsh01,27
1998-99,m/malonka01,35
1997-98,j/jordami01,34
1996-97,m/malonka01,33
1995-96,j/jordami01,32
1994-95,r/robinda01,29
1993-94,o/olajuha01,31
1992-93,b/barklch01,29
1991-92,j/jordami01,28
1990-91,j/jordami01,27
1989-90,j/johnsma02,30
1988-89,j/johnsma02,29
1987-88,j/jordami01,24
1986-87,j/johnsma02,27
1985-86,b/birdla01,29
1984-85,b/birdla01,28
1983-84,b/birdla01,27
1982-83,m/malonmo01,27
1981-82,m/malonmo01,26
1980-81,e/ervinju01,30
1979-80,a/abdulka01,32
1978-79,m/malonmo01,23
1977-78,w/waltobi01,25
1976-77,a/abdulka01,29
1975-76,a/abdulka01,28
1974-75,m/mcadobo01,23
1973-74,a/abdulka01,26
1972-73,c/cowenda01,24
1971-72,a/abdulka01,24
1970-71,a/abdulka01,23
1969-70,r/reedwi01,27
1968-69,u/unselwe01,22
1967-68,c/chambwi01,31
1966-67,c/chambwi01,30
1965-66,c/chambwi01,29
1964-65,r/russebi01,30
1963-64,r/roberos01,25
1962-63,r/russebi01,28
1961-62,r/russebi01,27
1960-61,r/russebi01,26
1959-60,c/chambwi01,23
1958-59,p/pettibo01,26
1957-58,r/russebi01,23
1956-57,c/cousybo01,28
1955-56,p/pettibo01,23
