team_name,season,player_name,player_id,player_position
Atlanta Hawks,2025-26,Onyeka Okongwu,o/okongon01,C
Atlanta Hawks,2025-26,Dyson Daniels,d/daniedy01,SG
Atlanta Hawks,2025-26,Nickeil Alexander-Walker,a/alexani01,SG
Atlanta Hawks,2025-26,Mouhamed Gueye,g/gueyemo02,PF
Atlanta Hawks,2025-26,Zaccharie Risacher,r/risacza01,SF
Atlanta Hawks,2025-26,Jalen Johnson,j/johnsja05,SF
Atlanta Hawks,2025-26,Vit Krejci,k/krejcvi01,PG
Atlanta Hawks,2025-26,Luke Kennard,k/kennalu01,SG
Atlanta Hawks,2025-26,Asa Newell,n/newelas01,PF
Atlanta Hawks,2025-26,Kristaps Porziņģis,p/porzikr01,C
Atlanta Hawks,2025-26,Trae Young,y/youngtr01,PG
Atlanta Hawks,2025-26,Caleb Houstan,h/houstca01,SF
Atlanta Hawks,2025-26,N'Faly Dante,n/nfalyda01,C
Atlanta Hawks,2025-26,Nikola Djurisic,d/djurini01,SF
Atlanta Hawks,2025-26,Malik Williams,w/willima11,C
Atlanta Hawks,2025-26,RayJ Dennis,d/dennira01,PG
Atlanta Hawks,2024-25,Dominick Barlow,b/barlodo01,PF
Atlanta Hawks,2024-25,Bogdan Bogdanović,b/bogdabo01,SG
Atlanta Hawks,2024-25,Kobe Bufkin,b/bufkiko01,SG
Atlanta Hawks,2024-25,Clint Capela,c/capelca01,C
Atlanta Hawks,2024-25,Dyson Daniels,d/daniedy01,SG
Atlanta Hawks,2024-25,Mouhamed Gueye,g/gueyemo02,PF
Atlanta Hawks,2024-25,De'Andre Hunter,h/huntede01,SF
Atlanta Hawks,2024-25,Jalen Johnson,j/johnsja05,SF
Atlanta Hawks,2024-25,Vit Krejci,k/krejcvi01,PG
Atlanta Hawks,2024-25,Caris LeVert,l/leverca01,SG
Atlanta Hawks,2024-25,Terance Mann,m/mannte01,SG
Atlanta Hawks,2024-25,Garrison Mathews,m/mathega01,SG
Atlanta Hawks,2024-25,Larry Nance Jr.,n/nancela02,PF
Atlanta Hawks,2024-25,Georges Niang,n/niangge01,PF
Atlanta Hawks,2024-25,Onyeka Okongwu,o/okongon01,C
Atlanta Hawks,2024-25,Daeqwon Plowden,p/plowdda01,SG
Atlanta Hawks,2024-25,Zaccharie Risacher,r/risacza01,SF
Atlanta Hawks,2024-25,David Roddy,r/roddyda01,PF
Atlanta Hawks,2024-25,Jacob Toppin,t/toppija01,SF
Atlanta Hawks,2024-25,Keaton Wallace,w/wallake01,PG
Atlanta Hawks,2024-25,Trae Young,y/youngtr01,PG
Atlanta Hawks,2023-24,Saddiq Bey,b/beysa01,SF
Atlanta Hawks,2023-24,Bogdan Bogdanović,b/bogdabo01,SG
