,player_id,season,salary
0,b/bryanko01,1996-97,1015000
1,b/bryanko01,1997-98,1167240
2,b/bryanko01,1998-99,1319000
3,b/bryanko01,1999-00,9000000
4,b/bryanko01,2000-01,10130000
5,b/bryanko01,2001-02,11250000
6,b/bryanko01,2002-03,12375000
7,b/bryanko01,2003-04,13500000
8,b/bryanko01,2004-05,14175000
9,b/bryanko01,2005-06,15946875
10,b/bryanko01,2006-07,17718750
11,b/bryanko01,2007-08,19490625
12,b/bryanko01,2008-09,21262500
13,b/bryanko01,2009-10,23034375
14,b/bryanko01,2010-11,24806250
15,b/bryanko01,2011-12,25244493
16,b/bryanko01,2012-13,27849149
17,b/bryanko01,2013-14,30453805
18,b/bryanko01,2014-15,23500000
19,b/bryanko01,2015-16,25000000
20,a/abdulka01,1984-85,1530000
21,a/abdulka01,1985-86,2030000
22,a/abdulka01,1987-88,2000000
23,a/abdulka01,1988-89,3000000
24,g/gilgesh01,2018-19,3375360
25,g/gilgesh01,2019-20,3952920
26,g/gilgesh01,2020-21,4141320
27,g/gilgesh01,2021-22,5495532
28,g/gilgesh01,2022-23,30913750
29,g/gilgesh01,2023-24,33386850
30,g/gilgesh01,2024-25,35859950
