Season,Champion,Team_ID
2024-25,Oklahoma City Thunder,OKC
2023-24,Boston Celtics,BOS
2022-23,Denver Nuggets,DEN
2021-22,Golden State Warriors,GSW
2020-21,Milwaukee Bucks,MIL
2019-20,Los Angeles Lakers,LAL
2018-19,Toronto Raptors,TOR
2017-18,Golden State Warriors,GSW
2016-17,Golden State Warriors,GSW
2015-16,Cleveland Cavaliers,CLE
2014-15,Golden State Warriors,GSW
2013-14,San Antonio Spurs,SAS
2012-13,Miami Heat,MIA
2011-12,Miami Heat,MIA
2010-11,Dallas Mavericks,DAL
2009-10,Los Angeles Lakers,LAL
2008-09,Los Angeles Lakers,LAL
2007-08,Boston Celtics,BOS
2006-07,San Antonio Spurs,SAS
2005-06,Miami Heat,MIA
2004-05,San Antonio Spurs,SAS
2003-04,Detroit Pistons,DET
2002-03,San Antonio Spurs,SAS
2001-02,Los Angeles Lakers,LAL
2000-01,Los Angeles Lakers,LAL
1999-00,Los Angeles Lakers,LAL
1998-99,San Antonio Spurs,SAS
1997-98,Chicago Bulls,CHI
1996-97,Chicago Bulls,CHI
1995-96,Chicago Bulls,CHI
1994-95,Houston Rockets,HOU
1993-94,Houston Rockets,HOU
1992-93,Chicago Bulls,CHI
1991-92,Chicago Bulls,CHI
1990-91,Chicago Bulls,CHI
1989-90,Detroit Pistons,DET
1988-89,Detroit Pistons,DET
1987-88,Los Angeles Lakers,LAL
1986-87,Los Angeles Lakers,LAL
1985-86,Boston Celtics,BOS
1984-85,Los Angeles Lakers,LAL
1983-84,Boston Celtics,BOS
1982-83,Philadelphia 76ers,PHI
1981-82,Los Angeles Lakers,LAL
1980-81,Boston Celtics,BOS
1979-80,Los Angeles Lakers,LAL
1978-79,Seattle SuperSonics,SEA
1977-78,Washington Bullets,WSB
1976-77,Portland Trail Blazers,POR
1975-76,Boston Celtics,BOS
1975-76,New York Nets,NYA
1974-75,Golden State Warriors,GSW
1974-75,Kentucky Colonels,KEN
1973-74,Boston Celtics,BOS
1973-74,New York Nets,NYA
1972-73,New York Knicks,NYK
1972-73,Indiana Pacers,INA
1971-72,Los Angeles Lakers,LAL
1971-72,Indiana Pacers,INA
1970-71,Milwaukee Bucks,MIL
1970-71,Utah Stars,UTS
1969-70,New York Knicks,NYK
1969-70,Indiana Pacers,INA
1968-69,Boston Celtics,BOS
1968-69,Oakland Oaks,OAK
1967-68,Boston Celtics,BOS
1967-68,Pittsburgh Pipers,PTP
1966-67,Philadelphia 76ers,PHI
1965-66,Boston Celtics,BOS
1964-65,Boston Celtics,BOS
1963-64,Boston Celtics,BOS
1962-63,Boston Celtics,BOS
1961-62,Boston Celtics,BOS
1960-61,Boston Celtics,BOS
1959-60,Boston Celtics,BOS
1958-59,Boston Celtics,BOS
1957-58,St. Louis Hawks,STL
1956-57,Boston Celtics,BOS
1955-56,Philadelphia Warriors,PHW
1954-55,Syracuse Nationals,SYR
1953-54,Minneapolis Lakers,MNL
1952-53,Minneapolis Lakers,MNL
1951-52,Minneapolis Lakers,MNL
1950-51,Rochester Royals,ROC
1949-50,Minneapolis Lakers,MNL
1948-49,Minneapolis Lakers,MNL
1947-48,Baltimore Bullets,BLB
1946-47,Philadelphia Warriors,PHW
