,id,name,pos,shoots,age,is_alive,height,weight,career length,is_active,has_hall_of_fame,count_allstar,stat_games,stat_points,stat_total_rebounds,stat_assists,stat_field_goal_pct,stat_three_point_field_goal_pct,stat_effective_field_goal_pct,stat_free_throw_pct,stat_efficiency_rating,stat_win_shares
0,m/mobleev01,Evan Mobley,Power Forward,Right,24.572602739726026,True,211,97,4,True,False,1,300.0,16.5,9.0,3.0,54.2,31.9,68.6,56.9,18.8,31.1
1,g/goberru01,Rudy Gobert,Center,Right,33.556164383561644,True,216,117,12,True,False,3,865.0,12.6,11.7,1.4,65.8,0.0,63.7,65.8,21.1,120.6
2,j/jacksja02,Jaren Jackson Jr.,Center and Power Forward,Right,26.33150684931507,True,208,109,7,True,False,2,440.0,18.5,5.5,1.5,46.7,35.1,78.9,52.9,17.8,30.2
3,s/smartma01,Marcus Smart,Point Guard and Shooting Guard,Right,31.863013698630137,True,190,99,11,True,False,0,659.0,10.6,3.4,4.5,38.9,32.3,78.1,47.5,12.3,34.9
4,a/antetgi01,Giannis Antetokounmpo,"Power Forward, Small Forward, Point Guard, and Shooting Guard",Right,31.10958904109589,True,211,110,12,True,False,9,881.0,24.0,9.9,5.0,55.3,28.6,69.3,57.3,26.0,124.5
5,g/greendr01,Draymond Green,Power Forward and Small Forward,Right,35.87123287671233,True,198,104,13,True,False,4,911.0,8.7,6.9,5.6,44.9,32.0,71.0,50.9,14.3,65.3
6,l/leonaka01,Kawhi Leonard,Small Forward,Right,34.55068493150685,True,198,102,13,True,False,6,758.0,20.4,6.4,3.1,49.8,39.0,86.4,55.4,23.4,106.0
7,n/noahjo01,Joakim Noah,Center,Right,40.893150684931506,True,211,104,13,False,False,2,672.0,8.8,9.0,2.8,49.1,0.0,70.0,49.1,17.6,61.9
8,g/gasolma01,Marc Gasol,Center,Right,40.967123287671235,True,211,115,13,False,False,3,891.0,14.0,7.4,3.4,48.1,36.0,77.6,50.3,18.0,85.3
9,c/chandty01,Tyson Chandler,Center and Power Forward,Right,43.295890410958904,True,213,106,19,False,False,1,1160.0,8.2,9.0,0.8,59.7,0.0,64.4,59.7,16.1,102.1
10,h/howardw01,Dwight Howard,Center and Power Forward,Right,40.10958904109589,True,208,120,18,False,True,8,1242.0,15.7,11.8,1.3,58.7,21.4,56.7,58.8,21.3,141.7
11,g/garneke01,Kevin Garnett,"Power Forward, Center, and Small Forward",Right,49.67123287671233,True,211,108,21,False,True,15,1462.0,17.8,10.0,3.7,49.7,27.5,78.9,50.1,22.7,191.4
12,c/cambyma01,Marcus Camby,Center and Power Forward,Right,51.83287671232877,True,211,99,17,False,False,0,973.0,9.5,9.8,1.9,46.6,20.5,67.0,46.8,17.8,81.6
13,w/wallabe01,Ben Wallace,Center and Power Forward,Right,51.36164383561644,True,206,108,16,False,True,4,1088.0,5.7,9.6,1.3,47.4,13.7,41.4,47.5,15.5,93.5
14,a/artesro01,Metta World Peace,Small Forward,Right,46.18356164383562,True,201,117,17,False,False,1,991.0,13.2,4.5,2.7,41.4,33.9,71.5,46.5,14.8,61.1
15,m/mutomdi01,Dikembe Mutombo,Center,Right,58.30684931506849,False,218,111,18,False,True,8,1196.0,9.8,10.3,1.0,51.8,0.0,68.4,51.8,17.2,117.0
