team_name,season,player_id,player_position
Atlanta Hawks,2025-26,o/okongon01,C
Atlanta Hawks,2025-26,d/daniedy01,SG
Atlanta Hawks,2025-26,a/alexani01,SG
Atlanta Hawks,2025-26,g/gueyemo02,PF
Atlanta Hawks,2025-26,r/risacza01,SF
Atlanta Hawks,2025-26,j/johnsja05,SF
Atlanta Hawks,2025-26,k/krejcvi01,PG
Atlanta Hawks,2025-26,k/kennalu01,SG
Atlanta Hawks,2025-26,n/newelas01,PF
Atlanta Hawks,2025-26,p/porzikr01,C
Atlanta Hawks,2025-26,y/youngtr01,PG
Atlanta Hawks,2025-26,h/houstca01,SF
Atlanta Hawks,2025-26,n/nfalyda01,C
Atlanta Hawks,2025-26,d/djurini01,SF
Atlanta Hawks,2025-26,w/willima11,C
Atlanta Hawks,2025-26,d/dennira01,PG
Atlanta Hawks,2024-25,b/barlodo01,PF
Atlanta Hawks,2024-25,b/bogdabo01,SG
Atlanta Hawks,2024-25,b/bufkiko01,SG
Atlanta Hawks,2024-25,c/capelca01,C
Atlanta Hawks,2024-25,d/daniedy01,SG
Atlanta Hawks,2024-25,g/gueyemo02,PF
Atlanta Hawks,2024-25,h/huntede01,SF
Atlanta Hawks,2024-25,j/johnsja05,SF
Atlanta Hawks,2024-25,k/krejcvi01,PG
Atlanta Hawks,2024-25,l/leverca01,SG
Atlanta Hawks,2024-25,m/mannte01,SG
Atlanta Hawks,2024-25,m/mathega01,SG
Atlanta Hawks,2024-25,n/nancela02,PF
Atlanta Hawks,2024-25,n/niangge01,PF
Atlanta Hawks,2024-25,o/okongon01,C
Atlanta Hawks,2024-25,p/plowdda01,SG
Atlanta Hawks,2024-25,r/risacza01,SF
Atlanta Hawks,2024-25,r/roddyda01,PF
Atlanta Hawks,2024-25,t/toppija01,SF
Atlanta Hawks,2024-25,w/wallake01,PG
Atlanta Hawks,2024-25,y/youngtr01,PG
Atlanta Hawks,2023-24,b/beysa01,SF
Atlanta Hawks,2023-24,b/bogdabo01,SG
Atlanta Hawks,2023-24,b/bufkiko01,SG
Atlanta Hawks,2023-24,c/capelca01,C
Atlanta Hawks,2023-24,f/fernabr01,C
Atlanta Hawks,2023-24,f/forretr01,SG
Atlanta Hawks,2023-24,g/griffaj01,SF
Atlanta Hawks,2023-24,g/gueyemo02,PF
Atlanta Hawks,2023-24,h/huntede01,SF
Atlanta Hawks,2023-24,j/johnsja05,SF
Atlanta Hawks,2023-24,k/krejcvi01,PG
Atlanta Hawks,2023-24,l/lundyse01,SF
Atlanta Hawks,2023-24,m/mathega01,SG
Atlanta Hawks,2023-24,m/matthwe02,SG
Atlanta Hawks,2023-24,m/millspa02,PG
Atlanta Hawks,2023-24,m/murrade01,SG
Atlanta Hawks,2023-24,o/okongon01,C
Atlanta Hawks,2023-24,w/windldy01,SF
Atlanta Hawks,2023-24,y/youngtr01,PG
Atlanta Hawks,2022-23,b/beysa01,SF
Atlanta Hawks,2022-23,b/bogdabo01,SG
Atlanta Hawks,2022-23,c/capelca01,C
Atlanta Hawks,2022-23,c/collijo01,PF
Atlanta Hawks,2022-23,c/culveja01,SF
Atlanta Hawks,2022-23,f/fernabr01,C
Atlanta Hawks,2022-23,f/forretr01,SG
Atlanta Hawks,2022-23,g/griffaj01,SF
Atlanta Hawks,2022-23,h/holidaa01,PG
Atlanta Hawks,2022-23,h/holidju01,SF
Atlanta Hawks,2022-23,h/huntede01,SF
Atlanta Hawks,2022-23,j/johnsja05,SF
Atlanta Hawks,2022-23,k/kaminfr01,C
Atlanta Hawks,2022-23,k/krejcvi01,PG
Atlanta Hawks,2022-23,m/martity01,SG
Atlanta Hawks,2022-23,m/mathega01,SG
Atlanta Hawks,2022-23,m/murrade01,SG
Atlanta Hawks,2022-23,o/okongon01,C
Atlanta Hawks,2022-23,w/willido02,SG
Atlanta Hawks,2022-23,y/youngtr01,PG
Atlanta Hawks,2021-22,b/barbeca01,PG
Atlanta Hawks,2021-22,b/bogdabo01,SG
Atlanta Hawks,2021-22,b/brownch05,SG
Atlanta Hawks,2021-22,c/capelca01,C
Atlanta Hawks,2021-22,c/collijo01,PF
Atlanta Hawks,2021-22,c/coopesh01,PG
Atlanta Hawks,2021-22,d/dienggo01,C
Atlanta Hawks,2021-22,g/gallida01,PF
Atlanta Hawks,2021-22,h/hillma01,SG
