player_id,season,salary
m/mobleev01,2021-22,8075160
m/mobleev01,2022-23,8478720
m/mobleev01,2023-24,8882640
m/mobleev01,2024-25,11227657
g/goberru01,2013-14,1078800
g/goberru01,2014-15,1127400
g/goberru01,2015-16,1175880
g/goberru01,2016-17,2121288
g/goberru01,2017-18,21974719
g/goberru01,2018-19,23241573
g/goberru01,2019-20,25008427
g/goberru01,2020-21,27525281
g/goberru01,2021-22,35344828
g/goberru01,2022-23,38172414
g/goberru01,2023-24,41000000
g/goberru01,2024-25,43827586
j/jacksja02,2018-19,5915040
j/jacksja02,2019-20,6927480
j/jacksja02,2020-21,7257360
j/jacksja02,2021-22,9180560
j/jacksja02,2022-23,28946605
j/jacksja02,2023-24,27102202
j/jacksja02,2024-25,25257798
s/smartma01,2014-15,3283320
s/smartma01,2015-16,3431040
s/smartma01,2016-17,3578880
s/smartma01,2017-18,4538020
s/smartma01,2018-19,11660716
s/smartma01,2019-20,11768879
s/smartma01,2020-21,13446428
s/smartma01,2021-22,13839285
s/smartma01,2022-23,17457142
s/smartma01,2023-24,18833713
s/smartma01,2024-25,20210284
a/antetgi01,2013-14,1792560
a/antetgi01,2014-15,1873200
a/antetgi01,2015-16,1953960
a/antetgi01,2016-17,2995421
a/antetgi01,2017-18,22471910
a/antetgi01,2018-19,24157304
a/antetgi01,2019-20,25842697
a/antetgi01,2020-21,27528088
a/antetgi01,2021-22,39344970
a/antetgi01,2022-23,42492492
a/antetgi01,2023-24,45640084
a/antetgi01,2024-25,48787676
g/greendr01,2012-13,850000
g/greendr01,2013-14,875500
g/greendr01,2014-15,915243
g/greendr01,2015-16,14300000
g/greendr01,2016-17,15330435
g/greendr01,2017-18,16400000
g/greendr01,2018-19,17469565
g/greendr01,2019-20,18539130
g/greendr01,2020-21,22246956
g/greendr01,2021-22,24026712
g/greendr01,2022-23,25806468
g/greendr01,2023-24,22321429
g/greendr01,2024-25,24107143
l/leonaka01,2011-12,1731960
l/leonaka01,2012-13,1861920
l/leonaka01,2013-14,1887840
l/leonaka01,2014-15,2894059
l/leonaka01,2015-16,16500000
l/leonaka01,2016-17,17638063
l/leonaka01,2017-18,18868625
l/leonaka01,2018-19,23114067
l/leonaka01,2019-20,32742000
l/leonaka01,2020-21,34379100
l/leonaka01,2021-22,39344900
l/leonaka01,2022-23,42492492
l/leonaka01,2023-24,45640084
l/leonaka01,2024-25,49205800
n/noahjo01,2007-08,2135400
n/noahjo01,2008-09,2295480
n/noahjo01,2009-10,2455680
n/noahjo01,2010-11,3128536
n/noahjo01,2011-12,12000000
n/noahjo01,2012-13,11300000
n/noahjo01,2013-14,11100000
n/noahjo01,2014-15,12200000
n/noahjo01,2015-16,13400000
n/noahjo01,2016-17,17000000
n/noahjo01,2017-18,17765000
n/noahjo01,2018-19,18530000
n/noahjo01,2018-19,1731173
