player_id,won_at_age,season,rank,team,player_position,points
h/hardeja01,30,2019-2020,1,HOU,SG,2335
l/lillada01,29,2019-2020,2,POR,PG,1978
b/bookede01,23,2019-2020,3,PHO,SG,1863
a/antetgi01,25,2019-2020,4,MIL,PF,1857
y/youngtr01,21,2019-2020,5,ATL,PG,1778
d/doncilu01,20,2019-2020,6,DAL,PG,1759
b/bealbr01,26,2019-2020,7,WAS,SG,1741
j/jamesle01,35,2019-2020,8,LAL,PG,1698
m/mitchdo01,23,2019-2020,9,UTA,SG,1655
d/davisan02,26,2019-2020,10,LAL,PF,1618
m/mccolcj01,28,2019-2020,11,POR,SG,1556
w/westbru01,31,2019-2020,12,HOU,PG,1553
t/tatumja01,21,2019-2020,13,BOS,PF,1547
l/leonaka01,28,2019-2020,14,LAC,SF,1543
l/lavinza01,24,2019-2020,15,CHI,SF,1530
d/derozde01,30,2019-2020,16,SAS,SF,1504
i/ingrabr01,22,2019-2020,17,NOP,PF,1477
j/jokicni01,24,2019-2020,18,DEN,C,1456
h/harrito02,27,2019-2020,19,PHI,PF,1411
h/hieldbu01,27,2019-2020,20,SAC,SG,1382
s/siakapa01,25,2019-2020,21,TOR,PF,1371
s/sextoco01,21,2019-2020,22,CLE,PG,1349
g/gilgesh01,21,2019-2020,23,OKC,SG,1331
w/warretj01,26,2019-2020,24,IND,SF,1326
d/dinwisp01,26,2019-2020,25,BRK,PG,1318
m/middlkh01,28,2019-2020,26,MIL,SF,1297
b/bogdabo02,30,2019-2020,27,UTA,SF,1275
r/randlju01,25,2019-2020,28,NYK,PF,1248
p/paulch01,34,2019-2020,29,OKC,PG,1232
s/schrode01,26,2019-2020,30,OKC,PG,1229
f/fournev01,27,2019-2020,31,ORL,SF,1221
v/vucevni01,29,2019-2020,32,ORL,C,1215
m/moranja01,20,2019-2020,33,MEM,PG,1193
w/willilo02,33,2019-2020,34,LAC,PG,1185
b/brookdi01,24,2019-2020,35,MEM,SG,1181
w/wiggian01,24,2019-2020,36,2TM,SF,1175
h/harremo01,26,2019-2020,37,LAC,C,1173
e/embiijo01,25,2019-2020,38,PHI,C,1172
h/holidjr01,29,2019-2020,39,NOP,SG,1167
p/porzikr01,24,2019-2020,40,DAL,C,1164
g/gallida01,31,2019-2020,41,OKC,PF,1160
b/brownja02,23,2019-2020,42,BOS,SG,1159
b/butleji01,30,2019-2020,43,MIA,SF,1157
s/sabondo01,23,2019-2020,44,IND,PF,1147
a/adebaba01,22,2019-2020,45,MIA,PF,1146
g/grahade01,24,2019-2020,46,CHO,PG,1145
w/walkeke02,29,2019-2020,47,BOS,PG,1145
r/roziete01,25,2019-2020,48,CHO,PG,1134
l/lowryky01,33,2019-2020,49,TOR,PG,1126
h/hardati02,27,2019-2020,50,DAL,SG,1121
c/curryst01,32,2020-2021,1,GSW,PG,2015
l/lillada01,30,2020-2021,2,POR,PG,1928
j/jokicni01,25,2020-2021,3,DEN,C,1898
b/bealbr01,27,2020-2021,4,WAS,SG,1878
d/doncilu01,21,2020-2021,5,DAL,PG,1830
a/antetgi01,26,2020-2021,6,MIL,PF,1717
b/bookede01,24,2020-2021,7,PHO,SG,1712
r/randlju01,26,2020-2021,8,NYK,PF,1712
t/tatumja01,22,2020-2021,9,BOS,SF,1692
w/willizi01,20,2020-2021,10,NOP,PF,1647
v/vucevni01,30,2020-2021,11,2TM,C,1639
y/youngtr01,22,2020-2021,12,ATL,PG,1594
l/lavinza01,25,2020-2021,13,CHI,SG,1591
f/foxde01,23,2020-2021,14,SAC,PG,1461
s/sextoco01,22,2020-2021,15,CLE,SG,1460
